fila_excel,nombre,alias,tipo,detalle_cliente,categoria,sitio_web,anios_participacion,logo_archivo,logo_nombre_original,logo_drive_url,logo_descarga_directa,observacion
117,FUNDACIÓN REIMAGINA,,,Socia,Organizaciones participantes,https://fundacionreimagina.org/,2025,fundacion-reimagina.pdf,Fundación Reimagina.pdf,https://drive.google.com/file/d/1dmeemQXgLg8I9dEEBxQOMzQXaLrkSqIm/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1dmeemQXgLg8I9dEEBxQOMzQXaLrkSqIm,formato .pdf no es imagen web: convertir a PNG o pedir otro archivo
118,FUNDACIÓN PARA LA CONFIANZA,,,Socia,Organizaciones participantes,www.paralaconfianza.org,2025,fundacion-para-la-confianza.jpg,Fundación Para la Confianza.jpg,https://drive.google.com/file/d/1v6rtGdlxlNA2CNM_Lj6uxpD6cIPxixlV/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1v6rtGdlxlNA2CNM_Lj6uxpD6cIPxixlV,
119,FUNDACEK,,,Socia,Organizaciones participantes,www.fundacek.org,2025,fundacek.png,FundacEK vertical.png FundacEK.png,https://drive.google.com/file/d/1xUFi4qP9Nh9_gYreVm6pkw811wPYLq8q/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1xUFi4qP9Nh9_gYreVm6pkw811wPYLq8q,la celda nombra varios archivos; el enlace de Drive apunta a uno solo
120,FUNDACIÓN RONALD MCDONALD,,,Socia,Organizaciones participantes,www.fundacionronald.cl,2024,fundacion-ronald-mcdonald.png,FUNDACIÓN PARA LA INFANCIA RONALD MCDONALD.png,https://drive.google.com/file/d/1tPIeAPBibjSmZqeXs_aG6KNpnB7qwm4_/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1tPIeAPBibjSmZqeXs_aG6KNpnB7qwm4_,
121,FUSUPO - FUNDACIÓN PARA LA SUPERACIÓN DE LA POBREZA,,,Socia,Organizaciones participantes,www.superacionpobreza.cl,"2024, 2025, 2026",fusupo-fundacion-para-la-superacion-de-la-pobreza.png,Logo FSP 30 años_Vertical.png,https://drive.google.com/file/d/1ECBCD1qMou-SyXoAiC5wVJ2wYIM0XqZf/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1ECBCD1qMou-SyXoAiC5wVJ2wYIM0XqZf,
122,FUNDACIÓN PATERNITAS,,,Socia,Organizaciones participantes,www.paternitas.cl,2025,fundacion-paternitas.png,Fundación Paternitas.png,https://drive.google.com/file/d/1x2VAkS3_Es2-ZQGDAZO-YilTxmbjM3a6/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1x2VAkS3_Es2-ZQGDAZO-YilTxmbjM3a6,
123,PATRONATO S.S.C.C,,,Socia,Organizaciones participantes,www.patronatosscc.cl,2025,patronato-s-s-c-c.jpg,Fundación Patronato de los Sagrados Corazones.jpg,https://drive.google.com/file/d/1tbvzywt13PpM6_jKM5SSg7vZrAkruAgC/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1tbvzywt13PpM6_jKM5SSg7vZrAkruAgC,
124,FUNDACIÓN PATRONATO MADRE-HIJO,,,Socia,Organizaciones participantes,www.patronato.cl,2025,fundacion-patronato-madre-hijo.jpg,Patronato madre hijo.jpg,https://drive.google.com/file/d/1GvaIBMhfSUEOHj_MAekZWt-0GOMe0V8C/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1GvaIBMhfSUEOHj_MAekZWt-0GOMe0V8C,
125,FUNDACIÓN POR UNA CARRERA,,,Socia,Organizaciones participantes,www.porunacarrera.cl,"2024, 2025",fundacion-por-una-carrera.png,Fundación por una Carrera.png,https://drive.google.com/file/d/1kU1M269qEwRWMA2RH4igd-rRzduqaolm/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1kU1M269qEwRWMA2RH4igd-rRzduqaolm,
126,FUNDACIÓN PORTAS,,,Socia,Organizaciones participantes,www.fundacionportas.cl,2025,fundacion-portas.png,Fundación Portas.png,https://drive.google.com/file/d/1G1c3zBj5MQGjKx3ea2KIl1s45JLQPtkS/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1G1c3zBj5MQGjKx3ea2KIl1s45JLQPtkS,
127,FUNDACIÓN PRO BONO,,,Socia,Organizaciones participantes,www.probono.cl,"2024, 2025",fundacion-pro-bono.png,Fundación Pro Bono.png,https://drive.google.com/file/d/1SjscQEq17Bu5rxw4UscXcemfZAApMd_-/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1SjscQEq17Bu5rxw4UscXcemfZAApMd_-,
128,FUNDACIÓN PROYECTO B,,,Socia,Organizaciones participantes,www.proyectob.cl,2025,fundacion-proyecto-b.png,Fundación Proyecto B.png,https://drive.google.com/file/d/18Fm3r2WfLmBlDIuJ9PEsckSeSofJtSUn/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=18Fm3r2WfLmBlDIuJ9PEsckSeSofJtSUn,
129,FUNDACIÓN PUENTE,,,Socia,Organizaciones participantes,www.fundacionpuente.cl,"2024, 2025",fundacion-puente.jpg,Fundación Puente.jpg,https://drive.google.com/file/d/1P-gYcVodzJf77mqCWzzZggWj53vhPBfn/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1P-gYcVodzJf77mqCWzzZggWj53vhPBfn,
